time_sec,total_load,user1_load,user3_load,user4_load,user6_load
0,4067.73,2957.84,0.0,531.98,577.91
3600,3713.4100000000003,2921.26,0.0,510.97,281.18
7200,3776.69,2947.4,0.0,499.66,329.63
10800,3516.1,2989.68,0.0,525.78,0.64
14400,3582.5400000000004,3013.05,0.0,568.67,0.82
18000,3508.11,3029.3,0.0,478.15,0.66
21600,3844.06,2979.29,0.0,864.18,0.59
25200,4453.03,3127.66,0.0,733.18,592.19
28800,6100.639999999999,4323.83,0.0,996.86,779.95
32400,9261.650000000001,6658.38,0.0,1266.81,1336.46
36000,11337.56,8217.58,158.0,1334.0,1627.98
39600,10658.029999999999,7286.25,164.47,1439.44,1767.87
43200,9970.85,6766.27,138.32,1274.37,1791.89
46800,10052.06,6722.97,153.74,1353.93,1821.42
50400,10401.63,7361.0,149.73,1103.56,1787.34
54000,10658.84,7357.59,135.49,1346.14,1819.62
57600,10533.029999999999,7384.36,0.0,1355.8,1792.87
61200,9053.76,5869.76,0.0,1330.42,1853.58
64800,7015.06,4302.35,0.0,1068.57,1644.14
68400,6408.32,4461.92,0.0,773.33,1173.07
72000,5967.93,4187.79,0.0,699.1,1081.04
75600,5740.139999999999,4141.44,0.0,590.08,1008.62
79200,5316.4800000000005,3849.77,0.0,626.11,840.6
82800,4874.3,3476.85,0.0,593.38,804.07
86400,4712.87,3384.15,0.0,594.79,733.93
90000,4491.879999999999,3450.24,0.0,623.03,418.61
93600,4379.049999999999,3541.68,0.0,482.35,355.02
97200,4226.12,3336.04,0.0,520.96,369.12
100800,4158.59,3286.75,0.0,552.34,319.5
104400,4256.570000000001,3288.3,0.0,682.19,286.08
108000,4427.839999999999,3413.45,0.0,706.52,307.87
111600,4802.580000000001,3544.51,0.0,824.51,433.56
115200,5887.990000000001,4547.25,0.0,812.77,527.97
118800,7264.68,5342.16,0.0,851.59,1070.93
122400,7721.66,5378.05,0.0,945.38,1398.23
126000,8592.61,5980.09,0.0,1133.02,1479.5
129600,8887.24,6154.67,0.0,1235.45,1497.12
133200,8288.2,5577.12,0.0,1052.96,1658.12
136800,7957.67,5383.42,0.0,1021.9,1552.35
140400,7823.160000000001,5222.18,0.0,1086.8,1514.18
144000,7623.85,5147.25,0.0,1010.05,1466.55
147600,7512.15,4968.35,0.0,1046.15,1497.65
151200,6673.74,4497.08,0.0,847.67,1328.99
154800,6161.47,4354.08,0.0,701.47,1105.92
158400,5161.62,3572.45,0.0,657.0,932.17
162000,5094.16,3533.92,0.0,640.33,919.91
165600,4829.98,3489.26,0.0,546.74,793.98
169200,4802.25,3552.72,0.0,568.12,681.41
172800,4345.19,3180.22,0.0,537.82,627.15
176400,4207.96,3239.06,0.0,528.34,440.56
180000,4155.5199999999995,3279.67,0.0,524.68,351.17
183600,4337.94,3450.87,0.0,537.94,349.13
187200,4184.55,3285.25,0.0,540.36,358.94
190800,4098.65,3352.12,0.0,514.63,231.9
194400,4594.200000000001,3366.86,0.0,923.82,303.52
198000,4457.19,3338.27,0.0,755.58,363.34
201600,5063.849999999999,3865.59,0.0,800.07,398.19
205200,5673.18,4301.14,0.0,850.11,521.93
208800,6182.4,4458.59,0.0,907.25,816.56
212400,6400.34,4411.43,0.0,888.3,1100.61
216000,6354.110000000001,4454.34,0.0,771.13,1128.64
219600,7394.610000000001,5192.22,0.0,969.76,1232.63
223200,7907.03,5789.42,0.0,930.23,1187.38
226800,7368.000000000001,5251.93,0.0,902.44,1213.63
230400,7382.4,5169.59,0.0,957.96,1254.85
234000,7131.58,4956.54,0.0,915.06,1259.98
237600,5553.869999999999,3717.72,0.0,664.59,1171.56
241200,5340.29,3698.97,0.0,617.28,1024.04
244800,4927.450000000001,3492.17,0.0,563.76,871.52
248400,4415.64,2934.96,0.0,595.52,885.16
252000,4302.34,2893.14,0.0,577.86,831.34
255600,4274.03,2979.17,0.0,623.12,671.74
259200,4033.99,2912.23,0.0,567.79,553.97
262800,3853.07,2829.76,0.0,570.35,452.96
266400,3725.63,2774.58,0.0,566.71,384.34
270000,3772.58,2898.71,0.0,539.04,334.83
273600,3572.95,2684.92,0.0,581.18,306.85
277200,3698.09,2887.96,0.0,524.61,285.52
280800,4019.58,2821.82,0.0,928.51,269.25
284400,4162.48,2983.21,0.0,765.2,414.07
288000,6769.85,5149.61,0.0,1024.8,595.44
291600,11321.39,8244.01,79.98,1556.82,1440.58
295200,12120.53,8889.11,0.0,1675.2,1556.22
298800,13162.800000000001,9471.76,188.81,1634.88,1867.35
302400,12653.959999999997,8681.89,188.63,1840.13,1943.31
306000,12927.68,9068.93,175.9,1743.16,1939.69
309600,12887.03,8848.52,187.84,1740.28,2110.39
313200,12685.439999999999,8669.88,217.31,1706.71,2091.54
316800,12513.85,8615.1,257.28,1690.65,1950.82
320400,12164.03,8195.52,234.99,1684.84,2048.68
324000,9748.16,6721.84,0.0,1188.38,1837.94
327600,6589.25,4649.95,0.0,780.85,1158.45
331200,6561.33,4639.93,0.0,781.96,1139.44
334800,6264.96,4420.56,0.0,791.69,1052.71
338400,5802.58,4201.28,0.0,668.79,932.51
342000,5689.15,4231.66,0.0,652.58,804.91
345600,5522.77,4182.72,0.0,654.22,685.83
349200,5168.8099999999995,4051.48,0.0,654.88,462.45
352800,5230.33,4190.66,0.0,631.28,408.39
356400,5091.35,4099.66,0.0,621.21,370.48
360000,5077.77,4118.53,0.0,635.39,323.85
363600,5149.639999999999,3845.92,0.0,986.74,316.98
367200,5413.299999999999,4067.95,0.0,1021.27,324.08
370800,5804.64,4421.02,0.0,924.5,459.12
374400,7623.82,5772.49,0.0,1135.36,715.97
378000,11091.300000000001,7774.62,310.81,1672.1,1333.77
381600,11972.260000000002,8413.53,275.28,1657.5,1625.95
385200,11927.230000000001,8157.21,233.31,1688.93,1847.78
388800,11841.81,7974.14,255.04,1676.99,1935.64
392400,11356.230000000001,8057.77,266.7,1624.98,1406.78
396000,11822.909999999998,8129.82,277.63,1643.65,1771.81
399600,11979.380000000001,8158.52,315.54,1623.68,1881.64
403200,11719.11,8163.59,0.0,1575.2,1980.32
406800,12781.869999999999,8688.85,289.07,1563.05,2240.9
410400,8596.25,5855.91,0.0,1079.5,1660.84
414000,7002.5,4823.23,0.0,867.47,1311.8
417600,6168.53,4148.15,0.0,742.55,1277.83
421200,5555.02,3712.12,0.0,626.35,1216.55
424800,5436.21,3629.17,0.0,642.93,1164.11
428400,4853.92,3242.63,0.0,668.45,942.84
432000,4795.429999999999,3397.72,0.0,636.14,761.57
435600,4546.67,3440.78,0.0,640.72,465.17
439200,4458.15,3372.25,0.0,681.88,404.02
442800,4273.48,3355.56,0.0,584.19,333.73
446400,4538.65,3602.36,0.0,633.47,302.82
450000,4399.63,3364.87,0.0,743.33,291.43
453600,4335.570000000001,3302.82,0.0,736.78,295.97
457200,4768.120000000001,3397.17,0.0,962.1,408.85
460800,7310.860000000001,5621.91,59.81,1020.92,608.22
464400,10570.39,7349.5,103.58,1573.17,1544.14
468000,10870.07,7543.97,88.17,1420.7,1817.23
471600,11906.84,8086.04,75.43,1764.82,1980.55
475200,12255.95,8156.56,85.08,1804.15,2210.16
478800,12175.3,7969.73,56.9,1783.73,2364.94
482400,12025.91,7688.53,321.14,1785.07,2231.17
486000,11350.47,7410.63,282.11,1491.91,2165.82
489600,11447.060000000001,7450.3,270.22,1545.35,2181.19
493200,10410.14,6619.63,273.64,1398.06,2118.81
496800,8238.98,5271.19,0.0,1027.87,1939.92
500400,6722.339999999999,4401.23,0.0,765.66,1555.45
504000,6046.77,4038.05,0.0,727.54,1281.18
507600,5520.42,3653.86,0.0,727.8,1138.76
511200,5182.31,3523.22,0.0,574.54,1084.55
514800,4843.15,3395.67,0.0,548.96,898.52
518400,4678.27,3338.33,0.0,564.75,775.19
522000,4447.26,3316.0,0.0,570.15,561.11
525600,4507.55,3307.82,0.0,623.73,576.0
529200,4409.52,3296.81,0.0,592.24,520.47
532800,4307.18,3333.55,0.0,474.88,498.75
536400,4345.45,3346.5,0.0,548.01,450.94
540000,4735.889999999999,3386.44,0.0,1024.96,324.49
543600,4900.25,3691.01,0.0,713.24,496.0
547200,7369.42,5656.55,0.0,1002.08,710.79
550800,10752.72,7377.92,59.83,1682.62,1632.35
554400,11087.94,7687.92,50.23,1515.7,1834.09
558000,11278.59,7340.38,241.67,1761.03,1935.51
561600,11747.28,7793.97,250.1,1671.8,2031.41
565200,11197.8,7404.45,261.78,1514.55,2017.02
568800,11549.19,7755.78,269.03,1576.44,1947.94
572400,11800.73,7792.14,242.57,1732.56,2033.46
576000,11590.77,7575.82,260.97,1617.06,2136.92
579600,11123.230000000001,7246.1,247.93,1500.21,2128.99
583200,8838.3,6091.08,0.0,1061.26,1685.96
586800,6218.530000000001,4053.82,0.0,729.82,1434.89
590400,5415.030000000001,3516.16,0.0,686.1,1212.77
594000,5136.49,3428.35,0.0,614.69,1093.45
597600,5063.92,3547.94,0.0,558.24,957.74
601200,4891.2699999999995,3452.27,0.0,632.16,806.84
604800,4605.139999999999,3363.7,0.0,527.38,714.06
608400,4461.12,3257.0,0.0,655.72,548.4
612000,4365.37,3322.31,0.0,540.05,503.01
615600,4352.67,3374.78,0.0,642.35,335.54
619200,4236.5,3323.51,0.0,607.29,305.7
622800,4042.63,3344.32,0.0,490.98,207.33
626400,4659.179999999999,3374.73,0.0,976.67,307.78
630000,4785.78,3521.63,0.0,830.99,433.16
633600,6672.799999999999,4853.2,53.24,1144.61,621.75
637200,10691.220000000001,7759.88,0.0,1501.25,1430.09
640800,10702.62,7439.54,50.16,1512.14,1700.78
644400,11125.39,7420.64,59.19,1750.23,1895.33
648000,11151.84,7527.0,0.0,1612.65,2012.19
651600,11468.039999999999,7662.33,309.9,1470.4,2025.41
655200,10764.26,7248.84,55.67,1524.97,1934.78
658800,11370.67,7571.96,326.15,1467.56,2005.0
662400,11273.579999999998,7469.83,255.49,1514.96,2033.3
666000,10674.79,6913.19,226.12,1373.44,2162.04
669600,8094.0,5261.53,0.0,1032.3,1800.17
673200,6881.4400000000005,4691.27,0.0,895.68,1294.49
676800,6443.780000000001,4607.77,0.0,667.42,1168.59
680400,5376.28,3678.95,0.0,663.0,1034.33
684000,5110.900000000001,3613.94,0.0,575.16,921.8
687600,4467.79,3071.92,0.0,603.08,792.79
691200,4404.95,3228.14,0.0,578.52,598.29
694800,4314.18,3240.21,0.0,529.82,544.15
698400,4329.52,3278.3,0.0,576.83,474.39
702000,4276.5599999999995,3319.47,0.0,573.07,384.02
705600,4245.64,3217.67,0.0,602.27,425.7
709200,4266.14,3252.88,0.0,654.0,359.26
712800,4311.37,3282.67,0.0,679.06,349.64
716400,4595.05,3398.03,0.0,621.84,575.18
720000,5464.859999999999,4101.73,0.0,723.56,639.57
723600,6396.37,4317.51,0.0,753.78,1325.08
727200,7229.08,4586.17,0.0,1239.66,1403.25
730800,7513.92,4730.03,0.0,1230.45,1553.44
734400,7249.009999999999,4369.73,0.0,1318.25,1561.03
738000,7530.74,4536.41,0.0,1427.1,1567.23
741600,7500.240000000001,4457.38,0.0,1517.23,1525.63
745200,7579.0599999999995,4521.66,0.0,1380.82,1676.58
748800,7694.41,4505.64,0.0,1359.46,1829.31
752400,7155.1900000000005,4383.43,0.0,1089.92,1681.84
756000,7167.79,4506.41,0.0,997.12,1664.26
759600,6361.490000000001,4226.56,0.0,801.84,1333.09
763200,5787.9400000000005,3707.59,0.0,798.58,1281.77
766800,5423.04,3543.03,0.0,742.46,1137.55
770400,5488.34,3550.5,0.0,759.43,1178.41
774000,5187.96,3496.79,0.0,679.57,1011.6
777600,5019.410000000001,3488.19,0.0,636.08,895.14
