time_sec,total_load,station_supply_temp_set_K,station_supply_temp_set_C,station_supply_temp_warn_C,station_return_temp_max_C,station_cooling_feedforward_W,station_cooling_capacity_W,station_cooling_kp_W_per_K,user1_heat,user1_required_flow_kg_s,user3_heat,user3_required_flow_kg_s,user3_valve_opening,user4_heat,user4_required_flow_kg_s,user4_valve_opening,user6_heat,user6_required_flow_kg_s,user6_valve_opening
0,4067730.0,280.15,7.0,12.0,20.0,4067730.0,16838487.499999996,1000000.0,2957840.0,141.32059245102724,0.0,0.0,0.4,531980.0,25.41710463449594,0.75,577910.0,27.611562350692786,0.9
3600,3713410.0000000005,280.15,7.0,12.0,20.0,3713410.0000000005,16838487.499999996,1000000.0,2921260.0,139.572861920688,0.0,0.0,0.4,510970.0,24.41328236980411,0.75,281180.0,13.434304825609175,0.9
7200,3776690.0,280.15,7.0,12.0,20.0,3776690.0,16838487.499999996,1000000.0,2947400.0,140.82178690874343,0.0,0.0,0.4,499660.0,23.872909698996658,0.75,329630.0,15.749163879598662,0.9
10800,3516100.0,280.15,7.0,12.0,20.0,3516100.0,16838487.499999996,1000000.0,2989680.0,142.84185379837552,0.0,0.0,0.4,525780.0,25.12087912087912,0.75,640.0,0.030578117534639276,0.9
14400,3582540.0000000005,280.15,7.0,12.0,20.0,3582540.0000000005,16838487.499999996,1000000.0,3013050.0,143.95843287147636,0.0,0.0,0.4,568670.0,27.17009077878643,0.75,820.0,0.03917821309125657,0.9
18000,3508110.0,280.15,7.0,12.0,20.0,3508110.0,16838487.499999996,1000000.0,3029300.0,144.7348303870043,0.0,0.0,0.4,478150.0,22.845198279980888,0.75,660.0,0.03153368370759675,0.9
21600,3844060.0,280.15,7.0,12.0,20.0,3844060.0,16838487.499999996,1000000.0,2979290.0,142.34543717152414,0.0,0.0,0.4,864180.0,41.28905876731964,0.75,590.0,0.02818920210224558,0.9
25200,4453030.0,280.15,7.0,12.0,20.0,4453030.0,16838487.499999996,1000000.0,3127660.0,149.43430482560916,0.0,0.0,0.4,733180.0,35.03010033444816,0.75,592190.0,28.293836598184427,0.9
28800,6100639.999999999,280.15,7.0,12.0,20.0,6100639.999999999,16838487.499999996,1000000.0,4323830.0,206.58528428093646,0.0,0.0,0.4,996860.0,47.628284758719545,0.75,779950.0,37.264691829909225,0.9
32400,9261650.000000002,280.15,7.0,12.0,20.0,9261650.000000002,16838487.499999996,1000000.0,6658380.0,318.1261347348304,0.0,0.0,0.4,1266810.0,60.52603917821309,0.75,1336460.0,63.85379837553751,0.9
36000,11337560.0,280.15,7.0,12.0,20.0,11337560.0,16838487.499999996,1000000.0,8217580.0,392.62207357859535,158000.0,7.548972766364071,0.4,1334000.0,63.73626373626374,0.75,1627980.0,77.78213091256569,0.9
39600,10658029.999999998,280.15,7.0,12.0,20.0,10658029.999999998,16838487.499999996,1000000.0,7286250.0,348.124701385571,164470.0,7.858098423315814,0.4,1439440.0,68.77400860009556,0.75,1767870.0,84.46583850931677,0.9
43200,9970850.0,280.15,7.0,12.0,20.0,9970850.0,16838487.499999996,1000000.0,6766270.0,323.2809364548495,138320.0,6.608695652173913,0.4,1274370.0,60.88724319159101,0.75,1791890.0,85.6134734830387,0.9
46800,10052060.0,280.15,7.0,12.0,20.0,10052060.0,16838487.499999996,1000000.0,6722970.0,321.21213569039656,153740.0,7.345437171524129,0.4,1353930.0,64.68848542761587,0.75,1821420.0,87.02436693741042,0.9
50400,10401630.0,280.15,7.0,12.0,20.0,10401630.0,16838487.499999996,1000000.0,7361000.0,351.6961299569995,149730.0,7.153846153846153,0.4,1103560.0,52.72623029144768,0.75,1787340.0,85.39608217869088,0.9
54000,10658840.0,280.15,7.0,12.0,20.0,10658840.0,16838487.499999996,1000000.0,7357590.0,351.5332059245103,135490.0,6.47348303870043,0.4,1346140.0,64.31629240324894,0.75,1819620.0,86.93836598184424,0.9
57600,10533029.999999998,280.15,7.0,12.0,20.0,10533029.999999998,16838487.499999996,1000000.0,7384360.0,352.81223124701387,0.0,0.0,0.4,1355800.0,64.77783086478739,0.75,1792870.0,85.66029622551362,0.9
61200,9053760.0,280.15,7.0,12.0,20.0,9053760.0,16838487.499999996,1000000.0,5869760.0,280.4472049689441,0.0,0.0,0.4,1330420.0,63.56521739130435,0.75,1853580.0,88.56091734352604,0.9
64800,7015060.0,280.15,7.0,12.0,20.0,7015060.0,16838487.499999996,1000000.0,4302350.0,205.55900621118013,0.0,0.0,0.4,1068570.0,51.05446727185858,0.75,1644140.0,78.55422838031534,0.9
68400,6408320.0,280.15,7.0,12.0,20.0,6408320.0,16838487.499999996,1000000.0,4461920.0,213.18299092212138,0.0,0.0,0.4,773330.0,36.9483994266603,0.75,1173070.0,56.04730052556139,0.9
72000,5967930.0,280.15,7.0,12.0,20.0,5967930.0,16838487.499999996,1000000.0,4187790.0,200.0855231724797,0.0,0.0,0.4,699100.0,33.40181557572862,0.75,1081040.0,51.65026278069756,0.9
75600,5740139.999999999,280.15,7.0,12.0,20.0,5740139.999999999,16838487.499999996,1000000.0,4141439.9999999995,197.8709985666507,0.0,0.0,0.4,590080.0,28.19302436693741,0.75,1008620.0,48.190157668418536,0.9
79200,5316480.000000001,280.15,7.0,12.0,20.0,5316480.000000001,16838487.499999996,1000000.0,3849770.0,183.93549928332538,0.0,0.0,0.4,626110.0,29.914476827520307,0.75,840600.0,40.16244624940277,0.9
82800,4874300.0,280.15,7.0,12.0,20.0,4874300.0,16838487.499999996,1000000.0,3476850.0,166.11801242236024,0.0,0.0,0.4,593380.0,28.350692785475395,0.75,804070.0,38.41710463449594,0.9
86400,4712870.0,280.15,7.0,12.0,20.0,4712870.0,16838487.499999996,1000000.0,3384150.0,161.68896321070235,0.0,0.0,0.4,594790.0,28.418060200668894,0.75,733930.0,35.065934065934066,0.9
90000,4491879.999999999,280.15,7.0,12.0,20.0,4491879.999999999,16838487.499999996,1000000.0,3450240.0,164.8466316292403,0.0,0.0,0.4,623030.0,29.767319636884853,0.75,418610.0,20.00047778308648,0.9
93600,4379049.999999999,280.15,7.0,12.0,20.0,4379049.999999999,16838487.499999996,1000000.0,3541680.0,169.21548017200192,0.0,0.0,0.4,482350.0,23.04586717630196,0.75,355020.0,16.962255136168178,0.9
97200,4226120.0,280.15,7.0,12.0,20.0,4226120.0,16838487.499999996,1000000.0,3336040.0,159.39034878165313,0.0,0.0,0.4,520960.00000000006,24.89058767319637,0.75,369120.0,17.635929288103203,0.9
100800,4158590.0,280.15,7.0,12.0,20.0,4158590.0,16838487.499999996,1000000.0,3286750.0,157.03535594839943,0.0,0.0,0.4,552340.0,26.389870998566654,0.75,319500.0,15.2651696129957,0.9
104400,4256570.000000001,280.15,7.0,12.0,20.0,4256570.000000001,16838487.499999996,1000000.0,3288300.0,157.10941232680364,0.0,0.0,0.4,682190.0,32.59388437649307,0.75,286080.0,13.668418537983754,0.9
