P_target,Energy_Cost,Demand_Charge,Total_Cost,Penalty,Total_Excess_kVA,Is_Feasible,Solver_Status
1400,229526.41767909625,67200.0,296726.4176790962,821691989.27,82169.19892699999,False,Optimal
1500,227999.10948223536,72000.0,299999.1094822354,642612170.75,64261.21707500001,False,Optimal
1600,224716.08331560533,76800.0,301516.0833156053,508885252.56,50888.52525599999,False,Optimal
1700,220490.79299218848,81600.0,302090.7929921885,401843978.41300005,40184.3978413,False,Optimal
1800,216154.35013413357,86400.0,302554.3501341336,297568452.116,29756.8452116,False,Optimal
1900,210969.47835848707,91200.0,302169.4783584871,212228120.15,21222.812015000003,False,Optimal
2000,206862.296621159,96000.0,302862.296621159,129730724.64999999,12973.072465,False,Optimal
2100,204026.74761139057,100800.0,304826.74761139054,56224979.199999996,5622.49792,False,Optimal
2200,200304.69777436278,105600.0,305904.69777436275,15145929.3,1514.59293,False,Optimal
2300,195645.35382972506,110400.0,306045.35382972506,0.0,0.0,True,Optimal
2400,190310.23711920442,115200.0,305510.2371192044,0.0,0.0,True,Optimal
2500,185762.7915838003,120000.0,305762.79158380034,0.0,0.0,True,Optimal
2600,183001.32450913973,124800.0,307801.32450913975,0.0,0.0,True,Optimal
2700,181349.07634365177,129600.0,310949.07634365174,0.0,0.0,True,Optimal
2800,180083.73651561482,134400.0,314483.7365156148,0.0,0.0,True,Optimal
2900,178933.00362711304,139200.0,318133.00362711307,0.0,0.0,True,Optimal
3000,177843.61792652326,144000.0,321843.61792652326,0.0,0.0,True,Optimal
3100,176815.11558630897,148800.0,325615.115586309,0.0,0.0,True,Optimal
3200,175853.85447537396,153600.0,329453.854475374,0.0,0.0,True,Optimal
3300,175060.9831176284,158400.0,333460.9831176284,0.0,0.0,True,Optimal
3400,174302.2308157295,163200.0,337502.2308157295,0.0,0.0,True,Optimal
3500,173559.3745221252,168000.0,341559.37452212523,0.0,0.0,True,Optimal
3600,172889.79464954304,172800.0,345689.794649543,0.0,0.0,True,Optimal
3700,172228.20069228424,177600.0,349828.20069228427,0.0,0.0,True,Optimal
3800,171566.60674527436,182400.0,353966.6067452744,0.0,0.0,True,Optimal
3900,170927.92249631116,187200.0,358127.92249631113,0.0,0.0,True,Optimal
4000,170468.05823674207,192000.0,362468.05823674204,0.0,0.0,True,Optimal
4100,170460.2548125039,196800.0,367260.25481250393,0.0,0.0,True,Optimal
4200,170460.2548125039,201600.0,372060.25481250393,0.0,0.0,True,Optimal
