hour,day,T_station_supply_C,T_station_return_C,Q_station_cooling_kw,user1_flow_kg_s,user1_T_sup_C,user1_T_ret_C,user1_delta_T_C,user1_Q_sup_kw,user1_demand_kw,user1_Q_unmet_kw,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
0,0.0,5.46686469844313,7.802617263342678,2294.2950248186335,92.10532467209688,6.668057135355742,13.683356321905352,7.01529918654961,2704.768869116519,2957.84,253.07113088348115,22.680085720169473,6.376221862033294,6.397711893134225,0.021490031100931617,2.0402385990276204,0.0,0.0,49.98253456598379,6.093775143891766,8.593153547745574,2.4993784038538083,522.9371696047074,531.98,9.04283039529264,65.24623868708231,6.2912416543548515,7.882529022288657,1.5912873679338055,434.61360758139057,577.91,143.2963924186094,3664.359884901645,4067.73,403.3701150983552
1,0.041666666666666664,6.295653318852088,9.36548120404341,3031.9917008192465,92.90192603352598,5.979590652079441,13.538512827717613,7.5589221756381715,2939.5700631841696,2921.26,0.0,22.809386894462158,5.944392599986491,5.9669519383760905,0.022559338389599226,2.1539677396443784,0.0,0.0,50.26529939730592,6.0532010373949054,8.47054584821748,2.4173448108225744,508.63483493331097,510.97,2.3351650666890578,65.61429723460873,5.988008135001791,7.120514208110283,1.132506073108492,311.05575816253526,281.18,0.0,3761.4146240196606,3713.4100000000003,0.0
2,0.08333333333333333,6.610928196762021,9.911627047641975,3257.2554310206265,92.93991413098495,6.241138358403451,13.842409591017304,7.601271232613853,2957.2478207718855,2947.4,0.0,22.81230235662702,6.366337434792109,6.3887750039661775,0.022437569174068805,2.1426150344456323,0.0,0.0,50.26962315995633,6.444693876858154,8.896724454983822,2.452030578125668,515.9774660401353,499.66,0.0,65.61923610527579,6.388167591570725,7.01449025925591,0.6263226676851854,172.03963962734068,329.63,157.59036037265932,3647.407541473807,3776.69,129.28245852619284
3,0.125,6.748981230989885,10.089558570012418,3296.210411229811,92.97047989733763,6.562801726480266,14.258977940693034,7.696176214212769,2995.1549824971744,2989.68,0.0,22.812539718660368,6.642560412892383,6.665821567694206,0.02326115480182267,2.2212842305881866,0.0,0.0,50.268657623468656,6.675428659324596,9.29100833809681,2.6155796787722148,550.3823097972034,525.78,0.0,65.61684700107877,6.647133332301376,6.675212251622312,0.028078919320935647,7.712496340614845,0.64,0.0,3555.471072865581,3516.1,0.0
4,0.16666666666666666,6.847956079649025,10.288042938937036,3392.597657729562,92.99052437130709,6.730725756020053,14.487567275181197,7.756841519161144,3019.4152147494215,3013.05,0.0,22.81290392082831,6.768989462945026,6.792588496758949,0.023599033813923143,2.2535853874156104,0.0,0.0,50.26836003377468,6.789546047671815,9.293944903725048,2.5043988560532338,526.9840098027814,568.67,41.68599019721853,65.6166823696088,6.771192036073476,6.79938802161734,0.028195985543864488,7.7446317372399,0.82,0.0,3556.3974416768583,3582.5400000000004,26.14255832314211
5,0.20833333333333334,6.876864369892287,10.476876016743113,3547.7471454939323,92.99947562942495,6.833689174822464,14.561180202759823,7.72749102793736,3008.279840233484,3029.3,21.02015976651637,22.8128544634327,6.856952524412961,6.880809796281997,0.02385727186903619,2.2782408437854524,0.0,0.0,50.26820546919931,6.8638199431548,10.063547553135614,3.1997276099808136,673.2953488555236,478.15,0.0,65.61579360757628,6.856809318452641,6.884686213608444,0.027876895155802828,7.656883011259961,0.66,0.0,3691.510312944053,3508.11,0.0
6,0.25,6.8077883286622,10.820626747736092,3948.3216916957717,92.9957975697878,6.865793097814393,14.693297079452414,7.827503981638021,3047.093948502549,2979.29,0.0,22.811777384941138,6.859504273104916,6.883792827348239,0.024288554243323546,2.3193164767895986,0.0,0.0,50.266203192728625,6.845695117661412,10.656742071080343,3.8110469534189306,801.8988782103323,864.18,62.28112178966762,65.61460376267415,6.854291610975472,7.951005986607094,1.0967143756316222,301.22656592239883,0.59,0.0,4152.53870911207,3844.06,0.0
7,0.2916666666666667,6.484330782046587,11.314722546595998,4742.036438416033,92.98417065691254,6.786446616038575,16.171814522392967,9.385367906354393,3653.083065430788,3127.66,0.0,22.806432948886187,6.726501714338732,6.7517781391567935,0.02527642481806147,2.4130828575336536,0.0,0.0,50.25409762559624,6.6618835145775215,10.784664794721387,4.122781280143865,867.2833292124092,733.18,0.0,65.60110471858339,6.708437121501796,9.222140223461846,2.5137031019600498,690.2785179711346,592.19,0.0,5213.057995471865,4453.03,0.0
8,0.3333333333333333,6.446462772388388,12.318823800498931,7069.303326862967,120.52142679978644,6.518461425943099,17.434824356023388,10.91636293008029,5507.334491448644,4323.83,0.0,26.517072748519446,6.448917669618612,6.482101139248661,0.03318346963004881,3.683380609863622,0.0,0.0,58.69930300558146,6.433651778621456,11.065564831740675,4.631913053119218,1138.1318238131146,996.86,0.0,76.6299996244418,6.445168038927238,9.746441977365041,3.301273938437803,1058.9601340939298,779.95,0.0,7708.109829965552,6100.639999999999,0.0
9,0.375,6.817704800673813,13.197390965040281,10075.920263999997,169.4554785118721,6.599317558347891,17.137057898977535,10.537740340629643,7474.847404146093,6658.38,0.0,32.65201406981173,6.654851042811754,7.260366498222038,0.6055154554102842,82.7626583237156,0.0,0.0,72.75684435673975,6.685514330531539,11.005683706223115,4.3201693756915756,1315.7514351481036,1266.81,0.0,94.98866183943316,6.644737302896752,10.412826463574266,3.7680891606775138,1498.2771772117035,1336.46,0.0,10371.638674829615,9261.650000000001,0.0
10,0.4166666666666667,7.0120024888098405,13.523652951258692,11018.601786522775,184.23263746007342,6.927940988627716,17.01412036787851,10.086179379250792,7778.439553520987,8217.58,439.140446479013,34.41366524482952,6.955346050450128,8.125110044774638,1.1697639943245104,168.51105723655513,158.0,0.0,76.81189658228784,6.95627137090123,11.320453387590444,4.364182016689214,1403.2355151070408,1334.0,0.0,100.28477741233442,6.936328459728178,11.032375832479305,4.096047372751127,1719.4882392095867,1627.98,0.0,11069.674365074168,11337.56,267.88563492583125
11,0.4583333333333333,7.08716536741871,13.700150504948924,10412.756227784095,169.08898478231413,7.060677397427167,17.007978717537878,9.94730132011071,7040.764435331853,7286.25,245.48556466814716,32.618243267637595,7.068014948738599,8.221781066789601,1.1537661180510028,157.53518689791542,164.47,6.934813102084576,72.67349416165024,7.066741893369339,11.57007414706409,4.503332253694752,1369.9643185733426,1439.44,69.4756814266575,94.88096913247094,7.05884684903533,11.585090163226058,4.526243314190728,1797.6959182245732,1767.87,0.0,10365.959859027684,10658.029999999999,292.07014097231513
12,0.5,7.136632682269305,13.801753532050542,10145.643704945158,162.34002942391191,7.109167414417237,17.064870681337048,9.955703266919812,6765.4515491494685,6766.27,0.8184508505319172,31.806274345401505,7.11159193598082,8.250622169461113,1.1390302334802938,151.65169768056705,138.32,0.0,70.80424331250232,7.113773165081428,11.588123316749632,4.4743501516682045,1326.1372609017417,1274.37,0.0,92.44022712005017,7.107225523387709,11.817091336868245,4.709865813480536,1822.5051401959788,1791.89,0.0,10065.745647927757,9970.85,0.0
13,0.5416666666666666,7.176551994627055,13.84604984107593,10397.411954971403,167.1107181539365,7.165792457670608,17.239337910209166,10.073545452538557,7046.701578897144,6722.97,0.0,32.37925755751949,7.167396211457177,8.331604736118162,1.1642085246609852,157.79632530937363,153.74,0.0,72.1218946403739,7.1662987526091575,11.283410018649972,4.117111266040815,1242.9651586894572,1353.93,110.96484131054285,94.16120614894703,7.162262083720549,11.78414046585904,4.62187838213849,1821.7540781668947,1821.42,0.0,10269.217141062869,10052.06,0.0
14,0.5833333333333334,7.220296700785512,13.891282610773095,10744.868928993874,173.82128422534035,7.196803221380495,17.35125329025476,10.154450068874265,7388.539282888012,7361.0,0.0,33.17886213455047,7.197009752893719,8.27152788751305,1.074518134619331,149.2362959616638,149.73,0.49370403833617615,73.96212778006627,7.198973422264926,11.19873791456069,3.999764492295764,1238.348953076704,1103.56,0.0,96.56435136059689,7.193087692790246,11.700939194874126,4.50785150208388,1822.1564079916125,1787.34,0.0,10598.280939917993,10401.63,0.0
15,0.625,7.2492350322628445,13.937911295040228,10847.412741767312,175.26959164522057,7.250272440033026,17.318898908717706,10.06862646868468,7387.1348716030925,7357.59,0.0,33.351042138406626,7.248606895048864,7.7859842374727695,0.5373773424239054,75.02188712241981,135.49,60.4681128775802,74.35972174634665,7.245546195616391,11.63270415344745,4.38715795783106,1365.5897591766475,1346.14,0.0,97.08320281315774,7.2432901909350855,11.734941830388129,4.4916516394530435,1825.3635987529965,1819.62,0.0,10653.110116655156,10658.84,5.729883344843984
16,0.6666666666666666,7.205383196712743,13.941862279763932,10024.549934630568,158.03493364800812,7.2439256940197945,17.294473653322207,10.050547959302413,6648.781527954575,7384.36,735.5784720454249,31.27098675126553,7.230884054737859,7.2763044934215975,0.04542043868373824,5.945551345418134,0.0,0.0,69.57570175728775,7.224338340439499,11.88066393782039,4.656325597380891,1356.126368707755,1355.8,0.0,90.83596222929667,7.229274584319692,12.07166827352691,4.842393689207218,1841.268570195757,1792.87,0.0,9852.122018203505,10533.029999999999,680.9079817964939
