hour,day,user1_flow_kg_s,user1_T_sup_C,user1_T_ret_C,user1_delta_T_C,user1_Q_sup_kw,user1_demand_kw,user1_Q_unmet_kw,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
0,0.0,92.10533664016631,6.66810861801751,13.683402351220588,7.015293733203078,2704.7671180175694,2957.84,253.07288198243077,22.680087614655644,6.376298512881733,6.397788320845789,0.021489807964056418,2.0402175850928246,0.0,0.0,49.98253846541134,6.093892594417265,8.593270608246675,2.4993780138294097,522.9371287984721,531.98,9.042871201527873,65.24624384296027,6.291347498392993,7.8826345079497475,1.5912870095567548,434.61354404513986,577.91,143.2964559548601,3664.358008446274,4067.73,403.3719915537258
1,0.041666666666666664,92.90193109973305,5.9796452023557025,13.538569717658754,7.558924515303052,2939.571133353699,2921.26,0.0,22.809386972310012,5.944435134474308,5.966994615717847,0.02255948124353946,2.1539813867034376,0.0,0.0,50.26529934887115,6.0532411491223765,8.470586008840913,2.4173448597185363,508.6348447314252,510.97,2.3351552685748516,65.61429720642302,5.988054181249995,7.120560307077313,1.1325061258273186,311.0557725087454,281.18,0.0,3761.4157319805736,3713.4100000000003,0.0
2,0.08333333333333333,92.93991766072386,6.241169902355641,13.842441920319716,7.601272017964075,2957.2482386221222,2947.4,0.0,22.812302467900736,6.366364729377561,6.388802334977051,0.022437605599489707,2.14261852324402,0.0,0.0,50.269623244432374,6.444720248796359,8.896750839893363,2.452030591097004,515.9774696367549,499.66,0.0,65.619236235243,6.388195680846665,7.014518360791566,0.6263226799449013,172.03964333561171,329.63,157.59035666438828,3647.407970117733,3776.69,129.28202988226712
3,0.125,92.9704823038932,6.562823854737747,14.259000522021426,7.696176667283678,2995.1552363508517,2989.68,0.0,22.81253979145368,6.642579880047105,6.665841066695353,0.023261186648247723,2.2212872787961113,0.0,0.0,50.268657671828414,6.675446723475425,9.29102641270483,2.6155796892294054,550.3823125271358,525.78,0.0,65.61684707734426,6.647152651671147,6.675231580999111,0.028078929327963742,7.712499098230606,0.64,0.0,3555.471335255014,3516.1,0.0
4,0.16666666666666666,92.99052602554599,6.730740964136234,14.48758282977818,7.756841865641946,3019.4154033333302,3013.05,0.0,22.81290396928893,6.769002689367187,6.792601745782724,0.023599056415537056,2.2535875505397813,0.0,0.0,50.26836006357209,6.789558253118939,9.293957116303798,2.504398863184859,526.9840116158206,568.67,41.68598838417938,65.61668241743558,6.771205090479101,6.799401082791543,0.028195992312442186,7.744633602019752,0.82,0.0,3556.3976361017103,3582.5400000000004,26.142363898290114
5,0.20833333333333334,92.99947675872653,6.833699503383316,14.561190766843145,7.72749126345983,3008.2799684512265,3029.3,21.02003154877366,22.812854496632593,6.856961507447698,6.880818794488542,0.023857287040844,2.278242295926864,0.0,0.0,50.26820548828595,6.863828238924778,10.06355586898667,3.1997276300618926,673.2953533366863,478.15,0.0,65.61579364044904,6.856818184010443,6.884695083697877,0.027876899687433898,7.6568842597887095,0.66,0.0,3691.510448343628,3508.11,0.0
6,0.25,92.99579833766563,6.86580012225492,14.693304263230496,7.827504140975576,3047.094035689771,2979.29,0.0,22.811777407435212,6.859510384265665,6.88379894885189,0.024288564586225192,2.3193174667213285,0.0,0.0,50.26620320444114,6.845700759409887,10.656747737774534,3.8110469783646472,801.8988836461187,864.18,62.2811163538812,65.61460378499804,6.854297641133709,7.951012019526561,1.0967143783928526,301.22656678329145,0.59,0.0,4152.538803585902,3844.06,0.0
7,0.2916666666666667,92.98417117621449,6.7864513852788475,16.171819394140996,9.385368008862148,3653.0831257319533,3127.66,0.0,22.80643296350686,6.726505857124366,6.7517822890682595,0.02527643194389384,2.413083539367654,0.0,0.0,50.2540976321094,6.661887334225347,10.784668631394554,4.122781297169207,867.2833329063262,733.18,0.0,65.6011047320631,6.708441208390715,9.222144311976843,2.5137031035861277,690.2785185595044,592.19,0.0,5213.058060737152,4453.03,0.0
8,0.3333333333333333,120.52668572713826,6.518976843700177,17.4347999349485,10.915823091248324,5507.30244081368,4323.83,0.0,26.517726307100066,6.451414343492181,6.484449886650457,0.033035543158275615,3.667051080999403,0.0,0.0,58.70077531567311,6.444294639390902,11.075930948653848,4.631636309262946,1138.0923688099467,996.86,0.0,76.63192298730522,6.448648874595816,9.749788367776956,3.3011394931811404,1058.943585785832,779.95,0.0,7708.005446490457,6100.639999999999,0.0
9,0.375,169.62739797177665,7.124207480778601,17.605186732626116,10.480979251847515,7442.127145144084,6658.38,0.0,32.66246149609281,7.419034622286372,8.018860062328528,0.5998254400421565,82.01117157220968,0.0,0.0,72.77486585147106,7.5985856087929635,11.9184764244278,4.319890815634836,1315.9924806790623,1266.81,0.0,95.01258689434866,7.37805817098059,11.146105346475974,3.7680471754953837,1498.6378539362202,1336.46,0.0,10338.768651331575,9261.650000000001,0.0
10,0.4166666666666667,184.7732816628244,9.331044850368555,19.327458540926397,9.996413690557842,7731.8357000724545,8217.58,485.7442999275454,34.42334393399772,9.681499660946347,10.847423693338788,1.1659240323924411,168.00512660987428,158.0,0.0,76.81117972326885,9.769821779899255,14.141004466988987,4.371182687089732,1405.4733559356825,1334.0,0.0,100.28580790239693,9.546151249622854,13.649194026681931,4.103042777059077,1722.4425535363716,1627.98,0.0,11027.756736154382,11337.56,309.80326384561704
11,0.4583333333333333,169.8448471099491,11.150061428585815,21.00815809453773,9.858096665951916,7008.816211405216,7286.25,277.43378859478435,32.6248525799002,11.427514190041059,12.579984836039003,1.1524706459979441,157.39018811005334,164.47,7.0798118899466544,72.65427350473854,11.501729585390255,16.014427444822473,4.512697859432219,1372.4503600151054,1439.44,66.98963998489467,94.85946186595206,11.324885578046272,15.860837917920517,4.535952339874244,1801.1436996701816,1767.87,0.0,10339.800459200556,10658.029999999999,318.2295407994425
