hour,day,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
0,0.0,24.643128165637897,6.995182157129441,7.190314960022393,0.1951328028929522,20.129145660852796,21.715454545454545,1.586308884601749,52.632860800107395,6.913438583984736,7.677312986582636,0.7638744025978994,168.297690891532,195.4390909090909,27.141400017558908,68.70798801980722,6.927325307974237,7.708715994257536,0.7813906862832987,224.73705508338847,260.5854545454545,35.848399462066055,413.16389163577327,477.74,64.57610836422674
1,0.041666666666666664,24.792921848162806,6.977422566399349,7.1466805375114495,0.16925797111210006,17.566128934736305,14.72409090909091,0.0,52.95274432891349,6.96232910924116,7.583873122063099,0.6215440128219392,137.7715625837319,132.5168181818182,0.0,69.12555716473618,6.951981975935685,7.586212388498907,0.6342304125632223,183.52064725591404,176.6890909090909,0.0,338.8583387743822,323.93,0.0
2,0.08333333333333333,24.793031903969247,6.972341303093314,7.143086343722547,0.17074504062923257,17.720540385656662,14.625454545454543,0.0,52.95301251381233,6.993732944745233,7.62191382944236,0.6281808846971275,139.24339805940346,131.6290909090909,0.0,69.12594555742851,6.990513882374077,7.6315208256182006,0.6410069432441237,185.48254349978444,175.50545454545454,0.0,342.44648194484455,321.76,0.0
3,0.125,24.7931438276448,6.9769817055519425,7.147465884847214,0.17048417929527115,17.693547123057215,15.051363636363636,0.0,52.95326005163299,7.007057081271672,7.634178033805365,0.6271209525336934,139.0091019256799,135.46227272727273,0.0,69.12627982919953,7.005102667090943,7.64501201461879,0.6399093475278468,185.16583727791237,180.6163636363636,0.0,341.8684863266495,331.13,0.0
4,0.16666666666666666,24.79332050703268,6.985912929539892,7.143331634382895,0.15741870484300335,16.337675038851508,14.568636363636363,0.0,52.95359374543872,7.0211615977385256,7.59311233243975,0.5719507347012245,126.78074090478128,131.1177272727273,4.336986367946025,69.1266848611923,7.018658634913596,7.6021880849286525,0.5835294500150567,168.8525924837681,174.82363636363635,5.971043879868262,311.9710084274009,320.51,8.538991572599116
5,0.20833333333333334,24.792887313075447,6.996597107750046,7.18590744097763,0.18931033322758406,19.647199290806697,12.314090909090865,0.0,52.95277490333728,7.0127664817039435,7.720232240791139,0.7074657590871958,156.81708353830558,110.82681818181779,0.0,69.12571881307245,7.017896750050523,7.740003203676935,0.7221064536264112,208.94891041190306,147.76909090909035,0.0,385.41319324101534,270.909999999999,0.0
6,0.25,24.79292338866354,7.000179307510262,7.224504615497096,0.2243253079868346,23.281193212784178,21.318636363636365,0.0,52.95297288039251,6.98675618333972,7.840504158898297,0.8537479755585773,189.24275335751184,191.8677272727273,2.624973915215463,69.12605986412034,6.9867369286297825,7.858113663994682,0.8713767353648993,252.14304180152777,255.82363636363635,3.680594562108581,464.6669883718238,469.01,4.343011628176214
7,0.2916666666666667,24.793222019462196,6.999754685786219,7.20872568924248,0.20897100345626107,21.687935931367214,19.509090909090908,0.0,52.95357370516101,7.011895634574933,7.801000792651005,0.7891051580760724,174.91593709298667,175.5818181818182,0.6658810888315259,69.126809774198,7.008134861110077,7.813474815210354,0.805339954100277,233.0370554593859,234.1090909090909,1.0720354497049982,429.6409284837398,429.2,0.0
8,0.3333333333333333,24.793058916699305,7.0034338124148485,7.224349540790118,0.22091572837526918,22.927461537411805,18.123181818181816,0.0,52.953270133635364,7.016168971748399,7.856215565704916,0.8400465939565178,186.20673470239842,163.10863636363638,0.0,69.12646111002586,7.017653310698764,7.875099945033926,0.8574466343351625,248.11364445371504,217.47818181818178,0.0,457.2478406935253,398.71,0.0
9,0.375,24.7930070117862,7.006135901801187,7.24957265806003,0.2434367562588431,25.26472525151041,22.05,0.0,52.9532383938327,7.003791695749359,7.938359966458221,0.9345682707088621,207.15851119338683,198.45000000000002,0.0,69.12647967258494,7.004509127379066,7.958460449732506,0.9539513223534399,276.03863995815624,264.59999999999997,0.0,508.46187640305345,485.1,0.0
