hour,day,user3_flow_kg_s,user3_T_sup_C,user3_T_ret_C,user3_delta_T_C,user3_Q_sup_kw,user3_demand_kw,user3_Q_unmet_kw,user4_flow_kg_s,user4_T_sup_C,user4_T_ret_C,user4_delta_T_C,user4_Q_sup_kw,user4_demand_kw,user4_Q_unmet_kw,user6_flow_kg_s,user6_T_sup_C,user6_T_ret_C,user6_delta_T_C,user6_Q_sup_kw,user6_demand_kw,user6_Q_unmet_kw,total_Q_sup_kw,total_demand_kw,total_Q_unmet_kw
0,0.0,24.641318513780558,6.988538492326966,8.248629008258378,1.2600905159314122,129.97652130426238,130.75,0.773478695737623,52.62887718954261,6.798470695389521,8.020517339905677,1.2220466445161557,269.2223504525224,280.61,11.387649547477622,68.70376210235561,6.834651106371613,8.439199769988694,1.6045486636170807,461.458485185227,541.96,80.50151481477303,860.6573569420118,953.32,92.66264305798825
1,0.041666666666666664,24.792186145425372,6.942036341695251,8.07512045692635,1.1330841152310986,117.59157282133756,127.88,10.288427178662431,52.95112170389934,6.850461833002965,8.010358446561295,1.1598966135583293,257.0950227690862,250.74,0.0,69.12388322441977,6.832779232651368,8.088649663725665,1.255870431074297,363.3893433205258,370.63,7.240656679474171,738.0759389109496,749.25,11.174061089050383
2,0.08333333333333333,24.79261369598087,6.915550534148953,7.855353212645059,0.9398026784961058,97.53448967867101,102.17,4.635510321328994,52.95240983472461,6.9254669071977375,8.313854659479729,1.3883877522819912,307.7483458453052,253.19,0.0,69.12504319605084,6.916367593998362,8.017858594099508,1.101491000101146,318.7246058591537,342.87,24.145394140846292,724.00744138313,698.23,0.0
3,0.125,24.79291014122975,6.914322477969243,8.018506952306693,1.1041844743374494,114.59571184635318,87.71,0.0,52.9530792780967,6.964418969590727,8.420869666313003,1.4564506967222757,322.8391769854157,352.9,30.060823014584287,69.12569252438999,6.959556803438775,7.972841157835189,1.013284354396414,293.20411167337755,280.73,0.0,730.6390005051464,721.3399999999999,0.0
4,0.16666666666666666,24.793000317188852,6.926498648618744,8.101201910120452,1.1747032615017075,121.91481515037117,137.04,15.125184849628823,52.95325600109774,6.977689816767366,8.496810057682687,1.5191202409153206,336.7317315750897,282.72,0.0,69.12570721329597,6.976279871316888,7.911558323363066,0.9352784520461785,270.6323696618583,291.84,21.207630338141655,729.2789163873192,711.5999999999999,0.0
5,0.20833333333333334,24.793050423467538,6.942026382622646,8.008310054725778,1.0662836721031317,110.66287441445246,101.66,0.0,52.953711168113834,6.988370000724574,8.794247991902248,1.805877991177674,400.2985633269444,381.56,0.0,69.12578806344071,6.9871066088296185,7.842703271156248,0.8555966623266293,247.57591979099797,235.12,0.0,758.5373575323948,718.34,0.0
6,0.25,24.792984259478565,6.956602970983808,8.079687806125998,1.1230848351421896,116.55759874194906,114.87,0.0,52.95355733817367,6.9870511441012075,8.81354129973592,1.8264901556347128,404.8663668562764,410.11,5.243633143723628,69.12583421142025,6.987664232924049,7.982959884836752,0.995295651912703,287.9994883557963,245.76,0.0,809.4234539540217,770.74,0.0
7,0.2916666666666667,24.79266946196205,6.966635661184782,8.064631699873331,1.0979960386885494,113.9523504625369,113.37,0.0,52.953248556862455,6.97265842597302,9.155211541325452,2.182553115352431,483.7897400579281,390.51,0.0,69.12529045141206,6.976287784731641,8.136146798169767,1.1598590134381261,335.6150247071022,316.54,0.0,933.3571152275672,820.4200000000001,0.0
8,0.3333333333333333,24.792712532048593,6.969172235844587,8.053848787549478,1.0846765517048915,112.57022149891367,109.61,0.0,52.95367626287801,6.961327700311926,9.446844923192945,2.485517222881019,550.9499104971187,569.55,18.600089502881247,69.12580319246615,6.960639215752547,8.303996196118666,1.343356980366119,388.7145981930704,341.24,0.0,1052.2347301891027,1020.4,0.0
9,0.375,24.792575322326794,6.968838416895913,7.932837481265171,0.9639990643692578,100.0454812671186,110.63,10.584518732881392,52.95350233563594,6.966846289931608,9.48710978144502,2.5202634915134112,558.6500755723685,524.46,0.0,69.12625438852108,6.967567937967576,8.67465255987611,1.7070846219085336,493.9662753927678,423.45,0.0,1152.6618322322547,1058.54,0.0
10,0.4166666666666667,24.7923345030149,6.967517100547474,7.991375912094564,1.0238588115470897,106.25679668492963,84.2,0.0,52.953176205561306,6.953889908364936,9.629748848137481,2.675858939772545,593.1362325246624,585.48,0.0,69.12653150392897,6.956181640869963,9.121489303643166,2.165307662773203,626.5613522217111,552.86,0.0,1325.9543814313033,1222.54,0.0
