时间,总冷量
2025-08-12 10:00:00,8739.6
2025-07-02 11:00:00,8666.98
2025-08-12 11:00:00,8618.55
2025-08-12 12:00:00,8602.05
2025-07-18 11:00:00,8563.35
2025-08-04 11:00:00,8550.76
2025-08-21 15:00:00,8515.22
2025-07-08 09:00:00,8513.76
2025-08-12 13:00:00,8499.880000000001
2025-08-21 13:00:00,8477.84
2025-08-11 15:00:00,8476.539999999999
2025-08-11 14:00:00,8470.9
2025-07-17 09:00:00,8467.38
2025-07-03 15:00:00,8460.32
2025-07-17 11:00:00,8458.13
2025-08-12 14:00:00,8447.85
2025-07-03 10:00:00,8436.689999999999
2025-08-21 12:00:00,8428.39
2025-07-17 12:00:00,8422.33
2025-07-17 14:00:00,8416.63
2025-07-17 15:00:00,8415.22
2025-08-21 11:00:00,8402.32
2025-08-04 16:00:00,8396.61
2025-08-25 12:00:00,8390.65
2025-07-17 13:00:00,8380.85
2025-07-16 14:00:00,8371.22
2025-08-04 13:00:00,8360.57
2025-07-17 10:00:00,8327.14
2025-07-23 14:00:00,8321.66
2025-08-05 11:00:00,8319.210000000001
2025-07-16 12:00:00,8309.97
2025-07-16 16:00:00,8305.46
2025-08-04 17:00:00,8304.73
2025-07-16 17:00:00,8303.03
2025-08-21 10:00:00,8291.880000000001
2025-08-25 10:00:00,8290.41
2025-08-04 14:00:00,8285.5
2025-07-16 11:00:00,8269.97
2025-07-08 10:00:00,8266.82
2025-07-16 15:00:00,8266.7
2025-08-04 12:00:00,8234.51
2025-08-21 14:00:00,8219.52
2025-07-16 13:00:00,8218.15
2025-07-02 13:00:00,8207.71
2025-07-09 15:00:00,8207.28
2025-07-18 15:00:00,8200.710000000001
2025-07-18 12:00:00,8199.4
2025-07-14 14:00:00,8198.66
2025-07-18 13:00:00,8197.71
2025-07-18 14:00:00,8196.86
2025-08-04 15:00:00,8189.62
2025-07-08 11:00:00,8184.76
2025-08-04 10:00:00,8182.28
2025-08-25 11:00:00,8177.2
2025-07-09 16:00:00,8176.93
2025-08-21 19:00:00,8170.2
2025-07-02 12:00:00,8165.01
2025-07-03 13:00:00,8155.96
2025-07-17 16:00:00,8154.2699999999995
2025-08-26 12:00:00,8142.29
2025-07-28 12:00:00,8120.22
2025-07-25 14:00:00,8118.97
2025-08-11 10:00:00,8106.26
2025-07-28 15:00:00,8104.259999999999
2025-07-18 10:00:00,8103.8
2025-07-22 11:00:00,8098.0199999999995
2025-08-25 13:00:00,8097.04
2025-08-26 11:00:00,8090.110000000001
2025-08-14 17:00:00,8087.37
2025-07-08 12:00:00,8085.68
2025-07-09 11:00:00,8084.31
2025-07-18 16:00:00,8082.0199999999995
2025-07-21 11:00:00,8079.83
2025-07-09 14:00:00,8073.7
2025-07-03 12:00:00,8070.54
2025-08-12 09:00:00,8062.28
2025-07-08 15:00:00,8062.13
2025-07-09 12:00:00,8058.54
2025-07-03 11:00:00,8049.26
2025-08-25 09:00:00,8028.5
2025-07-02 15:00:00,8026.74
2025-07-18 09:00:00,8020.13
2025-08-21 16:00:00,8016.0599999999995
2025-08-11 13:00:00,8008.26
2025-08-20 12:00:00,8006.59
2025-07-03 17:00:00,8003.56
2025-07-25 13:00:00,7997.37
2025-07-02 10:00:00,7995.09
2025-08-05 17:00:00,7992.56
2025-08-21 18:00:00,7992.33
2025-08-26 14:00:00,7991.63
2025-07-28 13:00:00,7991.5
2025-08-11 16:00:00,7991.15
2025-07-02 14:00:00,7987.509999999999
2025-07-21 12:00:00,7977.35
2025-07-21 10:00:00,7976.0
2025-08-20 11:00:00,7974.3
2025-07-25 11:00:00,7973.53
2025-08-18 11:00:00,7972.4800000000005
2025-08-18 13:00:00,7972.4800000000005
2025-08-18 12:00:00,7972.4800000000005
2025-08-26 10:00:00,7969.16
2025-08-26 13:00:00,7965.96
2025-08-11 12:00:00,7965.96
2025-07-24 16:00:00,7958.95
2025-08-26 15:00:00,7954.38
2025-07-28 11:00:00,7953.24
2025-08-19 14:00:00,7946.22
2025-08-19 11:00:00,7941.54
2025-07-26 13:00:00,7941.47
2025-08-04 09:00:00,7938.79
2025-08-20 10:00:00,7935.96
2025-08-20 14:00:00,7935.26
2025-07-08 13:00:00,7928.04
2025-07-21 09:00:00,7927.52
2025-07-02 16:00:00,7922.49
2025-07-24 14:00:00,7921.94
2025-07-16 10:00:00,7921.3
2025-08-27 17:00:00,7918.92
2025-07-22 10:00:00,7915.679999999999
2025-07-23 13:00:00,7906.72
2025-08-15 16:00:00,7903.51
2025-07-21 13:00:00,7903.47
2025-07-25 10:00:00,7902.74
2025-07-03 14:00:00,7902.32
2025-08-27 10:00:00,7897.01
2025-08-21 17:00:00,7889.42
2025-07-23 10:00:00,7887.9
2025-07-25 15:00:00,7887.76
2025-08-20 13:00:00,7886.22
2025-08-05 12:00:00,7885.26
2025-08-02 18:00:00,7881.49
2025-07-23 11:00:00,7879.06
2025-08-02 17:00:00,7878.12
2025-08-15 17:00:00,7876.58
2025-08-14 15:00:00,7872.21
2025-07-18 17:00:00,7871.89
2025-07-14 16:00:00,7871.0
2025-08-11 11:00:00,7870.85
2025-07-22 12:00:00,7867.95
2025-07-28 14:00:00,7866.92
2025-08-05 16:00:00,7865.07
2025-07-23 15:00:00,7863.76
2025-07-24 12:00:00,7853.04
2025-07-11 14:00:00,7851.13
2025-07-24 11:00:00,7848.69
2025-07-28 09:00:00,7846.1900000000005
2025-08-11 09:00:00,7845.9800000000005
2025-07-24 10:00:00,7843.71
2025-08-05 18:00:00,7843.5
2025-07-09 21:00:00,7842.86
2025-07-23 16:00:00,7842.55
2025-08-20 15:00:00,7842.32
2025-08-22 17:00:00,7842.04
2025-08-04 19:00:00,7839.2699999999995
2025-07-09 10:00:00,7838.7
2025-07-09 13:00:00,7836.71
2025-08-14 16:00:00,7829.97
2025-07-26 14:00:00,7826.09
2025-07-28 16:00:00,7824.43
2025-07-28 10:00:00,7822.06
2025-08-14 11:00:00,7820.72
2025-07-03 16:00:00,7819.39
2025-08-08 12:00:00,7802.5199999999995
2025-07-26 12:00:00,7801.09
2025-07-23 12:00:00,7800.68
2025-07-02 23:00:00,7797.36
2025-08-06 16:00:00,7791.84
2025-07-08 16:00:00,7791.31
2025-07-09 17:00:00,7789.06
2025-07-24 17:00:00,7780.91
2025-07-18 08:00:00,7778.1900000000005
2025-07-16 18:00:00,7776.55
2025-08-08 11:00:00,7776.33
2025-08-05 13:00:00,7770.97
2025-08-22 16:00:00,7766.85
2025-07-07 10:00:00,7763.639999999999
2025-08-01 21:00:00,7762.82
2025-07-28 17:00:00,7760.92
2025-07-11 12:00:00,7760.13
2025-08-05 14:00:00,7750.22
2025-08-06 10:00:00,7747.59
2025-07-23 09:00:00,7745.71
2025-07-14 11:00:00,7743.26
2025-08-05 10:00:00,7743.16
2025-07-21 14:00:00,7741.65
2025-07-14 13:00:00,7736.71
2025-07-08 14:00:00,7730.75
2025-07-16 20:00:00,7729.65
2025-07-09 18:00:00,7729.509999999999
2025-07-25 12:00:00,7729.03
2025-07-15 11:00:00,7726.23
2025-08-06 12:00:00,7719.59
2025-08-06 15:00:00,7717.69
2025-08-05 15:00:00,7715.35
2025-08-21 09:00:00,7714.15
2025-07-25 09:00:00,7710.76
2025-08-26 16:00:00,7710.58
2025-07-14 10:00:00,7709.51
2025-07-17 21:00:00,7705.11
2025-07-02 17:00:00,7704.78
2025-07-24 13:00:00,7703.88
2025-08-14 12:00:00,7703.59
2025-08-05 09:00:00,7702.73
2025-07-09 09:00:00,7699.14
2025-07-07 17:00:00,7697.0
2025-08-18 17:00:00,7696.23
2025-07-22 16:00:00,7695.56
2025-07-19 16:00:00,7692.81
2025-08-02 16:00:00,7691.65
2025-08-19 10:00:00,7691.17
2025-08-19 13:00:00,7689.46
2025-08-27 20:00:00,7688.68
2025-07-24 15:00:00,7684.49
2025-08-14 19:00:00,7682.73
2025-08-13 14:00:00,7681.08
2025-07-11 10:00:00,7679.3
2025-07-20 10:00:00,7676.35
2025-07-16 19:00:00,7674.98
2025-08-18 10:00:00,7673.83
2025-07-20 15:00:00,7672.17
2025-08-02 14:00:00,7671.8
2025-08-01 22:00:00,7671.73
2025-08-27 18:00:00,7668.43
2025-08-05 19:00:00,7667.55
2025-07-06 20:00:00,7666.3099999999995
2025-07-10 16:00:00,7665.18
2025-07-16 09:00:00,7661.7300000000005
2025-07-16 21:00:00,7660.33
2025-07-14 15:00:00,7659.2
2025-08-14 14:00:00,7658.8
2025-08-04 18:00:00,7658.64
2025-07-15 15:00:00,7657.21
2025-08-20 09:00:00,7656.22
2025-08-19 12:00:00,7656.12
2025-08-22 14:00:00,7655.78
2025-07-14 12:00:00,7655.110000000001
